,YEAR,MONTH,Rate Death per 100000 inhabitants,DEPARTMENT,dateInt,Date,Year_Month,Death Rate
255,2020,4,23.050397302584944,NARIÑO,2020041,2020-04-01,2020-04,0.00023050397302584944
256,2020,5,30.13580193754066,NARIÑO,2020051,2020-05-01,2020-05,0.0003013580193754066
257,2020,6,34.81700377928352,NARIÑO,2020061,2020-06-01,2020-06,0.0003481700377928352
258,2020,7,28.96298104195845,NARIÑO,2020071,2020-07-01,2020-07,0.0002896298104195845
259,2020,8,19.998744524454803,NARIÑO,2020081,2020-08-01,2020-08,0.00019998744524454804
260,2020,9,13.426177108617152,NARIÑO,2020091,2020-09-01,2020-09,0.00013426177108617152
261,2020,10,17.462698318288215,NARIÑO,2020101,2020-10-01,2020-10,0.00017462698318288216
262,2020,11,15.959928011515304,NARIÑO,2020111,2020-11-01,2020-11,0.00015959928011515304
263,2020,12,19.67973161182747,NARIÑO,2020121,2020-12-01,2020-12,0.0001967973161182747
264,2020,1,12.027553820795358,SANTANDER,2020011,2020-01-01,2020-01,0.00012027553820795358
265,2020,2,28.512302800958903,SANTANDER,2020021,2020-02-01,2020-02,0.00028512302800958903
266,2020,3,14.62921229445592,SANTANDER,2020031,2020-03-01,2020-03,0.0001462921229445592
267,2020,4,16.267833716214966,SANTANDER,2020041,2020-04-01,2020-04,0.00016267833716214966
268,2020,5,18.40980702736008,SANTANDER,2020051,2020-05-01,2020-05,0.00018409807027360082
269,2020,6,21.544003404135317,SANTANDER,2020061,2020-06-01,2020-06,0.00021544003404135316
270,2020,7,20.75452898169353,SANTANDER,2020071,2020-07-01,2020-07,0.0002075452898169353
271,2020,8,16.60334315797392,SANTANDER,2020081,2020-08-01,2020-08,0.0001660334315797392
272,2020,9,16.272560995721385,SANTANDER,2020091,2020-09-01,2020-09,0.00016272560995721385
273,2020,10,17.13390690053124,SANTANDER,2020101,2020-10-01,2020-10,0.0001713390690053124
274,2020,11,12.434641453692429,SANTANDER,2020111,2020-11-01,2020-11,0.0001243464145369243
275,2020,12,14.43785063553756,SANTANDER,2020121,2020-12-01,2020-12,0.0001443785063553756
276,2020,1,39.050706204842925,TOLIMA,2020011,2020-01-01,2020-01,0.0003905070620484292
277,2020,2,37.2439254358041,TOLIMA,2020021,2020-02-01,2020-02,0.000372439254358041
278,2020,3,27.33622516954281,TOLIMA,2020031,2020-03-01,2020-03,0.0002733622516954281
279,2020,4,32.42420806880209,TOLIMA,2020041,2020-04-01,2020-04,0.00032424208068802086
