,Sucursal,Rango_Edad,Fechas,Year_Month,FCC_y_m,Count_CCont,FR_y_m,Count_Ret,FS_y_m,Count_Sin,CumSum_CCont,CumSum_Ret,CumSum_Sin,Pop_Actual,Pop_SinRetiros,Proporcion_Siniestros,Year,Month
2816,VALLE DEL CAUCA,85-99,2017-03-01,2017-03,2017-03,2.0,,0.0,,0.0,309.0,20.0,15.0,309.0,309.0,0.0,2017,3
2817,VALLE DEL CAUCA,85-99,2017-04-01,2017-04,2017-04,3.0,,0.0,,0.0,312.0,20.0,15.0,312.0,312.0,0.0,2017,4
2818,VALLE DEL CAUCA,85-99,2017-05-01,2017-05,2017-05,7.0,,0.0,2017-05,2.0,319.0,20.0,17.0,317.0,319.0,0.006269592476489028,2017,5
2819,VALLE DEL CAUCA,85-99,2017-06-01,2017-06,2017-06,7.0,,0.0,,0.0,326.0,20.0,17.0,326.0,326.0,0.0,2017,6
2820,VALLE DEL CAUCA,85-99,2017-07-01,2017-07,2017-07,1.0,,0.0,2017-07,3.0,327.0,20.0,20.0,324.0,327.0,0.009174311926605505,2017,7
2821,VALLE DEL CAUCA,85-99,2017-08-01,2017-08,2017-08,4.0,,0.0,2017-08,3.0,331.0,20.0,23.0,328.0,331.0,0.00906344410876133,2017,8
2822,VALLE DEL CAUCA,85-99,2017-09-01,2017-09,2017-09,2.0,,0.0,,0.0,333.0,20.0,23.0,333.0,333.0,0.0,2017,9
2823,VALLE DEL CAUCA,85-99,2017-10-01,2017-10,2017-10,4.0,,0.0,2017-10,1.0,337.0,20.0,24.0,336.0,337.0,0.002967359050445104,2017,10
2824,VALLE DEL CAUCA,85-99,2017-11-01,2017-11,2017-11,1.0,,0.0,,0.0,338.0,20.0,24.0,338.0,338.0,0.0,2017,11
2825,VALLE DEL CAUCA,85-99,2017-12-01,2017-12,2017-12,5.0,,0.0,2017-12,1.0,343.0,20.0,25.0,342.0,343.0,0.0029154518950437317,2017,12
2826,VALLE DEL CAUCA,85-99,2018-01-01,2018-01,2018-01,3.0,,0.0,2018-01,1.0,346.0,20.0,26.0,345.0,346.0,0.002890173410404624,2018,1
2827,VALLE DEL CAUCA,85-99,2018-02-01,2018-02,2018-02,3.0,2018-02,2.0,2018-02,1.0,349.0,22.0,27.0,346.0,347.0,0.002881844380403458,2018,2
2828,VALLE DEL CAUCA,85-99,2018-03-01,2018-03,2018-03,4.0,,0.0,,0.0,353.0,22.0,27.0,353.0,353.0,0.0,2018,3
2829,VALLE DEL CAUCA,85-99,2018-04-01,2018-04,2018-04,7.0,,0.0,2018-04,1.0,360.0,22.0,28.0,359.0,360.0,0.002777777777777778,2018,4
2830,VALLE DEL CAUCA,85-99,2018-05-01,2018-05,2018-05,4.0,,0.0,2018-05,1.0,364.0,22.0,29.0,363.0,364.0,0.0027472527472527475,2018,5
2831,VALLE DEL CAUCA,85-99,2018-06-01,2018-06,,0.0,,0.0,2018-06,1.0,364.0,22.0,30.0,363.0,364.0,0.0027472527472527475,2018,6
2832,VALLE DEL CAUCA,85-99,2018-07-01,2018-07,2018-07,2.0,,0.0,2018-07,1.0,366.0,22.0,31.0,365.0,366.0,0.00273224043715847,2018,7
2833,VALLE DEL CAUCA,85-99,2018-08-01,2018-08,2018-08,3.0,,0.0,2018-08,1.0,369.0,22.0,32.0,368.0,369.0,0.0027100271002710027,2018,8
2834,VALLE DEL CAUCA,85-99,2018-09-01,2018-09,2018-09,4.0,,0.0,2018-09,1.0,373.0,22.0,33.0,372.0,373.0,0.002680965147453083,2018,9
2835,VALLE DEL CAUCA,85-99,2018-10-01,2018-10,2018-10,6.0,,0.0,2018-10,4.0,379.0,22.0,37.0,375.0,379.0,0.010554089709762533,2018,10
2836,VALLE DEL CAUCA,85-99,2018-11-01,2018-11,2018-11,3.0,,0.0,,0.0,382.0,22.0,37.0,382.0,382.0,0.0,2018,11
2837,VALLE DEL CAUCA,85-99,2018-12-01,2018-12,2018-12,3.0,,0.0,,0.0,385.0,22.0,37.0,385.0,385.0,0.0,2018,12
2838,VALLE DEL CAUCA,85-99,2019-01-01,2019-01,2019-01,2.0,,0.0,2019-01,1.0,387.0,22.0,38.0,386.0,387.0,0.002583979328165375,2019,1
2839,VALLE DEL CAUCA,85-99,2019-02-01,2019-02,,0.0,,0.0,2019-02,1.0,387.0,22.0,39.0,386.0,387.0,0.002583979328165375,2019,2
2840,VALLE DEL CAUCA,85-99,2019-03-01,2019-03,2019-03,2.0,,0.0,2019-03,4.0,389.0,22.0,43.0,385.0,389.0,0.010282776349614395,2019,3
2841,VALLE DEL CAUCA,85-99,2019-04-01,2019-04,2019-04,1.0,,0.0,,0.0,390.0,22.0,43.0,390.0,390.0,0.0,2019,4
2842,VALLE DEL CAUCA,85-99,2019-05-01,2019-05,2019-05,3.0,,0.0,2019-05,2.0,393.0,22.0,45.0,391.0,393.0,0.005089058524173028,2019,5
2843,VALLE DEL CAUCA,85-99,2019-06-01,2019-06,2019-06,10.0,,0.0,2019-06,2.0,403.0,22.0,47.0,401.0,403.0,0.004962779156327543,2019,6
2844,VALLE DEL CAUCA,85-99,2019-07-01,2019-07,2019-07,3.0,,0.0,2019-07,3.0,406.0,22.0,50.0,403.0,406.0,0.007389162561576354,2019,7
2845,VALLE DEL CAUCA,85-99,2019-08-01,2019-08,2019-08,1.0,,0.0,2019-08,1.0,407.0,22.0,51.0,406.0,407.0,0.002457002457002457,2019,8
2846,VALLE DEL CAUCA,85-99,2019-09-01,2019-09,2019-09,7.0,,0.0,,0.0,414.0,22.0,51.0,414.0,414.0,0.0,2019,9
2847,VALLE DEL CAUCA,85-99,2019-10-01,2019-10,2019-10,6.0,,0.0,2019-10,1.0,420.0,22.0,52.0,419.0,420.0,0.002380952380952381,2019,10
2848,VALLE DEL CAUCA,85-99,2019-11-01,2019-11,2019-11,2.0,,0.0,2019-11,1.0,422.0,22.0,53.0,421.0,422.0,0.002369668246445498,2019,11
2849,VALLE DEL CAUCA,85-99,2019-12-01,2019-12,2019-12,5.0,,0.0,,0.0,427.0,22.0,53.0,427.0,427.0,0.0,2019,12
2850,VALLE DEL CAUCA,85-99,2020-01-01,2020-01,2020-01,4.0,2020-01,1.0,2020-01,1.0,431.0,23.0,54.0,429.0,430.0,0.002325581395348837,2020,1
2851,VALLE DEL CAUCA,85-99,2020-02-01,2020-02,2020-02,4.0,,0.0,2020-02,1.0,435.0,23.0,55.0,434.0,435.0,0.0022988505747126436,2020,2
2852,VALLE DEL CAUCA,85-99,2020-03-01,2020-03,2020-03,3.0,,0.0,2020-03,3.0,438.0,23.0,58.0,435.0,438.0,0.00684931506849315,2020,3
2853,VALLE DEL CAUCA,85-99,2020-04-01,2020-04,,0.0,,0.0,2020-04,2.0,438.0,23.0,60.0,436.0,438.0,0.0045662100456621,2020,4
2854,VALLE DEL CAUCA,85-99,2020-05-01,2020-05,,0.0,,0.0,,0.0,438.0,23.0,60.0,438.0,438.0,0.0,2020,5
2855,VALLE DEL CAUCA,85-99,2020-06-01,2020-06,,0.0,,0.0,2020-06,2.0,438.0,23.0,62.0,436.0,438.0,0.0045662100456621,2020,6
2856,VALLE DEL CAUCA,85-99,2020-07-01,2020-07,,0.0,,0.0,,0.0,438.0,23.0,62.0,438.0,438.0,0.0,2020,7
2857,VALLE DEL CAUCA,85-99,2020-08-01,2020-08,2020-08,2.0,,0.0,,0.0,440.0,23.0,62.0,440.0,440.0,0.0,2020,8
2858,VALLE DEL CAUCA,85-99,2020-09-01,2020-09,2020-09,3.0,,0.0,2020-09,2.0,443.0,23.0,64.0,441.0,443.0,0.004514672686230248,2020,9
2859,VALLE DEL CAUCA,85-99,2020-10-01,2020-10,2020-10,1.0,,0.0,2020-10,3.0,444.0,23.0,67.0,441.0,444.0,0.006756756756756757,2020,10
2860,VALLE DEL CAUCA,85-99,2020-11-01,2020-11,,0.0,,0.0,,0.0,444.0,23.0,67.0,444.0,444.0,0.0,2020,11
2861,VALLE DEL CAUCA,85-99,2020-12-01,2020-12,,0.0,,0.0,2020-12,1.0,444.0,23.0,68.0,443.0,444.0,0.0022522522522522522,2020,12
2862,VALLE DEL CAUCA,85-99,2021-01-01,2021-01,,0.0,,0.0,2021-01,2.0,444.0,23.0,70.0,442.0,444.0,0.0045045045045045045,2021,1
2863,VALLE DEL CAUCA,85-99,2021-02-01,2021-02,,0.0,2021-02,1.0,,0.0,444.0,24.0,70.0,443.0,443.0,0.0,2021,2
2864,VALLE DEL CAUCA,85-99,2021-03-01,2021-03,2021-03,1.0,2021-03,1.0,2021-03,1.0,445.0,25.0,71.0,443.0,444.0,0.0022522522522522522,2021,3
2865,VALLE DEL CAUCA,85-99,2021-04-01,2021-04,,0.0,,0.0,2021-04,4.0,445.0,25.0,75.0,441.0,445.0,0.008988764044943821,2021,4
2866,VALLE DEL CAUCA,85-99,2021-05-01,2021-05,,0.0,,0.0,2021-05,1.0,445.0,25.0,76.0,444.0,445.0,0.0022471910112359553,2021,5
2867,VALLE DEL CAUCA,85-99,2021-06-01,2021-06,,0.0,,0.0,2021-06,4.0,445.0,25.0,80.0,441.0,445.0,0.008988764044943821,2021,6
2868,VALLE DEL CAUCA,85-99,2021-07-01,2021-07,,0.0,,0.0,2021-07,2.0,445.0,25.0,82.0,443.0,445.0,0.0044943820224719105,2021,7
2869,VALLE DEL CAUCA,85-99,2021-08-01,2021-08,,0.0,,0.0,,0.0,445.0,25.0,82.0,445.0,445.0,0.0,2021,8
2870,VALLE DEL CAUCA,85-99,2021-09-01,2021-09,,0.0,,0.0,2021-09,1.0,445.0,25.0,83.0,444.0,445.0,0.0022471910112359553,2021,9
2871,VALLE DEL CAUCA,85-99,2021-10-01,2021-10,,0.0,,0.0,,0.0,445.0,25.0,83.0,445.0,445.0,0.0,2021,10
2872,VALLE DEL CAUCA,85-99,2021-11-01,2021-11,,0.0,,0.0,2021-11,1.0,445.0,25.0,84.0,444.0,445.0,0.0022471910112359553,2021,11
2873,VALLE DEL CAUCA,85-99,2021-12-01,2021-12,,0.0,,0.0,,0.0,445.0,25.0,84.0,445.0,445.0,0.0,2021,12
2874,VALLE DEL CAUCA,85-99,2022-01-01,2022-01,,0.0,,0.0,2022-01,3.0,445.0,25.0,87.0,442.0,445.0,0.006741573033707865,2022,1
2875,VALLE DEL CAUCA,85-99,2022-02-01,2022-02,,0.0,,0.0,,0.0,445.0,25.0,87.0,445.0,445.0,0.0,2022,2
2876,VALLE DEL CAUCA,85-99,2022-03-01,2022-03,,0.0,,0.0,,0.0,445.0,25.0,87.0,445.0,445.0,0.0,2022,3
2877,VALLE DEL CAUCA,85-99,2022-04-01,2022-04,,0.0,,0.0,,0.0,445.0,25.0,87.0,445.0,445.0,0.0,2022,4
2878,VALLE DEL CAUCA,85-99,2022-05-01,2022-05,,0.0,,0.0,,0.0,445.0,25.0,87.0,445.0,445.0,0.0,2022,5
2879,VALLE DEL CAUCA,85-99,2022-06-01,2022-06,,0.0,,0.0,,0.0,445.0,25.0,87.0,445.0,445.0,0.0,2022,6
